Компани	Ажлын зар	Салбар	Түвшин	Төрөл	Цалин	Байршил	Он сар	Тохиролцоно
Стэйрвэй ХХК	Төслийн худалдан авалтын ажилтан	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:51	False
Капитрон банк	ЗАХ ЗЭЭЛИЙН ЭРСДЭЛИЙН ШИНЖЭЭЧ	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:48	False
Грийн Групп	ХУУЛИЙН ЗӨВЛӨХ	Хууль, хуулийн үйлчилгээ	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:46	False
Сөүл Сэниорс Монголиа ХХК	Лаборант /Яааралтай/	Эмнэлэг, Эм хангамж	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:44	False
Максгүүр транс ХХК	ДИСПЕТЧЕР	Уул уурхай	Мэргэжилтэн	Ээлжийн	1,500,000 - 1,800,000	Өмнөговь аймаг	3 сарын 15. 17:43	False
Үндэсний Техникийн Их Сургууль ҮТИС	Сургалтын албаны мэргэжилтэн болон туслах	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:37	False
Үндэсний Техникийн Их Сургууль ҮТИС	Математик багш	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:36	False
УБ Сонгдо Эмнэлэг	Лабораторийн техникч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:34	False
Үндэсний Техникийн Их Сургууль ҮТИС	Цахилгаан болон дулааны инженерийн багш	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:34	False
УБ Сонгдо Эмнэлэг	Хүний нөөцийн ажилтан	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:34	False
УБ Сонгдо Эмнэлэг	Эм зүйч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 17:34	False
УБ Сонгдо Эмнэлэг	ТООЦООНЫ НЯГТЛАН БОДОГЧ	Эмнэлэг, Эм хангамж	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:34	False
УБ Сонгдо Эмнэлэг	ЭДИЙН ЗАСАГЧ	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:34	False
УБ Сонгдо Эмнэлэг	ТОГООЧ	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:33	False
УБ Сонгдо Эмнэлэг	Эмгэг судлалын  техникч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:33	False
УБ Сонгдо Эмнэлэг	СУВИЛАГЧ АЖИЛД АВНА	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:33	False
Үндэсний Техникийн Их Сургууль ҮТИС	Бага ангийн багш	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:33	False
Синчи Ойл ХХК	Захирлын жолооч	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 17:33	False
Үндэсний Техникийн Их Сургууль ҮТИС	Нягтлан болон нягтлан  бодох бүртгэлийн багш	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:30	False
Наран Смарт ХХК	Савхин хувцасны оёдолчин	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 17:29	False
Үндэсний Техникийн Их Сургууль ҮТИС	Англи, Хятад хэлний багш	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 17:28	False
Таван Богд Фүүдс ХХК	ХАБЭА-н мэргэжилтэн	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:28	False
Үлэмж ХХК	Ээлжийн ахлах	Спорт, Гоо сайхан, Фитнесс	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 17:25	False
Үлэмж ХХК	Арьс гоо заслын их эмч	Эмнэлэг, Эм хангамж	Дунд шатны удирдлага	Ээлжийн	5,000,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 17:24	False
Монголын Мэргэшсэн Нягтлан Бодогчдын Институт	Тооцооны нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 17:22	False
Грийн Групп	ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 15. 17:12	False
Нэткапитал санхүүгийн корпораци	Дуудлагын төвийн Мэдээллийн ажилтан	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 17:07	False
УБ Сонгдо Эмнэлэг	Эмнэлгийн хоол зүйч	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 17:04	False
Уранган ХХК	Санхүүгийн ажилтан	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот	3 сарын 15. 17:01	False
Максгүүр транс ХХК	КЕМП МЕНЕЖЕР	Уул уурхай	Дунд шатны удирдлага	Ээлжийн	1,500,000 - 1,800,000	Өмнөговь аймаг	3 сарын 15. 16:59	False
Амтат цамхаг ХХК	Хүргэлтийн жолооч	Ажилчид, туслах ажилтан	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 16:59	False
Баялаг Бүрд	Жолооч	Тээвэр, гааль, агуулах	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 16:58	False
Баялаг Бүрд	Геологич	Уул уурхай	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 16:58	False
Баялаг Бүрд	Төлөвлөлтийн инженер	Уул уурхай	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 16:58	False
Баялаг Бүрд	Нярав	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 16:58	False
Н Эй Би ХХК	Ерөнхий нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 16:57	False
Грийн Групп	Тооцооны нягтлан бодогч /Авто тоног төхөөрөмжийн сэлбэг хангамж/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 16:57	False
Таван Богд Солюшнс ХХК	Хүний нөөцийн ажилтан	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 16:56	False
Гуанжоу Институте	Солонгос хэлтэй сургалтын менежер	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 16:52	False
Гуанжоу Институте	Англи хэлтэй сургалтын менежер	Боловсрол, Шинжлэх ухаан	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 16:51	False
Эм Эс Эй Майнинг Скиллс ХХК	Full stack developer	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 16:46	False
Хэв Хашмал ХХК	үйлчлэгч	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:46	False
Хэв Хашмал ХХК	туслах ажилчин	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:45	False
Номин Холдинг ХХК	Суурилуулалтын  техникч	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 16:41	False
Мирэ Эссет Секьюритис Монгол ҮЦК ХХК	Шинжээч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 16:41	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Төрийн болон төрийн бус байгууллага, ОУБ	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:38	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Маркетинг, PR, Менежмент	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:37	False
Оптимал Ревард	Зээлийн эдийн засагч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 16:36	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Аялал жуулчлал, зочид буудал	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:36	False
Жи Ти Аукон ХХК	Оосорлогч дохиочин /Оюу Толгойн төсөл/	Уул уурхай	Мэргэжил хамаарахгүй	Ээлжийн	1,500,000 - 1,800,000	Өмнөговь аймаг	3 сарын 15. 16:35	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Маркетинг, PR, Менежмент	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:35	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:35	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:34	False
РЕМАКС Платин	Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:33	False
Монголын Алт групп	ERP ХӨГЖҮҮЛЭГЧ	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 16:31	False
ТАНЫ ЗАМ ХХК	Авто замын инженер ажилд авна.	Үйлдвэрлэл, Дэд бүтэц	Дээд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:30	False
Эн ви си монголиа ххк	Дэлгүүрт хөтөч, борлуулагч	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:27	False
ТАНЫ ЗАМ ХХК	Жолооч	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 16:27	False
Очир Ундраа Групп	Ахлах тогооч /кемп-д ажиллах/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Ээлжийн	1,500,000 - 1,800,000	Өмнөговь аймаг	3 сарын 15. 16:26	False
ТАНЫ ЗАМ ХХК	Геодезийн инженер	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 16:25	False
Оптимал Ревард	хуулийн зөвлөх	Хууль, хуулийн үйлчилгээ	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 16:24	False
Максимус дистрибьюшн ХХК	Борлуулалтын дотоод аудитор / Хувьдаа машинтай/	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:23	False
Ньюпрогресс Групп ХХК	Тооцооны нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 16:21	False
Ти Эм Эл ХХК	НЯГТЛАН БОДОГЧ	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 16:20	False
Уолл Стрыт Капитал	(Үл хөдлөх хөрөнгө зуучлалын компанид) агент	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 16:20	False
Номин Холдинг ХХК	Даатгалын менежер	Даатгал	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 16:20	False
Ньюпрогресс Групп ХХК	Бичиг хэргийн ажилтан	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 16:17	False
Ньюпрогресс Групп ХХК	Ерөнхий нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 15. 16:13	False
Ньюпрогресс Групп ХХК	Маркетингийн менежер	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 16:10	False
Эм Эм Си Жи ХХК	ХҮНИЙ НӨӨЦИЙН АЖИЛТАН (гэрээт судлаач бүрдүүлэлт)	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 16:09	False
Ньюпрогресс Групп ХХК	Гадаад худалааны менежер	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 16:06	False
Монжаргалант ХХК	ЕРӨНХИЙ МЕНЕЖЕР	Ресторан, Хоол үйлдвэрлэл	Дээд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 16:06	False
Нэкст Групп XXK	САНХҮҮГИЙН ШИНЖЭЭЧ	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 16:06	False
Анун ХХК	Байгууллагын зөвлөх	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 16:01	False
Эрдэнэ Монгол ХХК	Гэрээ, төсвийн ажилтан	Уул уурхай	Мэргэжилтэн	Ээлжийн	3,000,000 - 4,000,000	Баянхонгор аймаг	3 сарын 15. 16:00	False
Глобал Бридж Групп	ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР	Захиргаа, Хүний нөөц	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 16:00	False
Нар-Урт ХХК	АРХИТЕКТУР /ГЭРЭЭТ/	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 15:59	False
Глобал Бридж Групп	БАРАА МАТЕРИАЛЫН НЯРАВ-ЭРЭГТЭЙ /Барилгын салбар/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 15:59	False
Бодь Пропертийз	ХОЛБОО ДОХИОЛЛЫН ИНЖЕНЕР	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:57	False
Бодь Пропертийз	ХОЛБОО ДОХИОЛЛЫН ИНЖЕНЕР	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:57	False
Ньюпрогресс Групп ХХК	ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /Бичиг хэрэг/	Захиргаа, Хүний нөөц	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 15:54	False
Том-Амжилт	IELTS 7.5+ оноотой Англи хэлний багш	Боловсрол, Шинжлэх ухаан	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:53	False
Эрдэнэ Монгол ХХК	Төлөвлөлтийн инженер	Уул уурхай	Мэргэжилтэн	Ээлжийн	3,000,000 - 4,000,000	Баянхонгор аймаг	3 сарын 15. 15:52	False
Нэйшнл Ньюс Корпорэйшн ХХК	НЯРАВ	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 15:48	False
Хишигт Эрдэс ХХК	Автогрейдерын оператор	Уул уурхай	Мэргэжилтэн	Ээлжийн	1,800,000 - 2,100,000	Дорноговь аймаг	3 сарын 15. 15:48	False
Монкон Групп ХХК	Систем хяналтын оператор (Омоте Проперти ХХК)	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Ээлжийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 15:47	False
ТЕК СТРИМ ХХК	Веб хөгжүүлэгч	Мэдээлэл технологи, Харилцаа холбоо	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:46	False
ХИШИГ бүрэн дунд сургууль	МХУЗ - ын багш	Боловсрол, Шинжлэх ухаан	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:46	False
Ньюпрогресс Групп ХХК	Хөдөлмөрийн аюулгүй байдал, эрүүл ахуйн инженер	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 15:45	False
Монкон Групп ХХК	ЕРӨНХИЙ МЕНЕЖЕР  (Омоте проперти менежмент ХХК)	Барилга, Үл хөдлөх хөрөнгө	Дээд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 15:45	False
Силвер пэн	НЯРАВ	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот	3 сарын 15. 15:44	False
Бодь Пропертийз	ГЕОДЕЗИЙН ИНЖЕНЕР /РОСТЕРООР/	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Ээлжийн	2,500,000 - 3,000,000	Өмнөговь аймаг	3 сарын 15. 15:44	False
Мария	Худалдааны төлөөлөгч	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 15:42	False
БОСА Холдинг ХХК	Төслийн менежер	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот	3 сарын 15. 15:40	False
Амгаланзаяа ХХК	Борлуулалтын ажилтан	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 15:39	False
Алтангадас трейд ХХК	ХҮНСНИЙ ТЕХНОЛОГЧ /махан бүтээгдэхүүн/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:24	False
РФ энд МД ХХК	Орос хэлтэй офис менежер	Үйлчилгээ	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 15:23	False
Степпелинк Холдинг ХХК	"ҮЙЛЧИЛГЭЭНИЙ МЕНЕЖЕР - ""УРБАН ЛИНК"" ХХК"	Үйлчилгээ	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 15:12	False
Мон-кек	БОРЛУУЛАЛТЫН МЕНЕЖЕР	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 15:09	False
Эм си ди эс эф ХХК	БРЭНД МЕНЕЖЕР	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 15:09	False
Мон-кек	Тооцооны нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 15:08	False
Цагаан Хуаран Консалтинг ХХК	Барилгын туслах ажилтан	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:08	False
ГОУЛДС ЖИМ	Борлуулалтын менежер	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 15:08	False
Рендер ХХК	Оффисын Үйлчлэгч	Үйлчилгээ	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 15:07	False
Дашваанжил ХХК	Шалгах механик - ХХАА инженер	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 15. 15:05	False
Наран Трейд ХХК	МАРКЕТИНГИЙН МЕНЕЖЕР / кофе шоп	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 15:04	False
Дашваанжил ХХК	Цахилгааны инженер	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 15:03	False
Урбан Бизнес Групп ХХК	ОЁДОЛЧИН	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 15:02	False
Урбан Бизнес Групп ХХК	Мэдээллийн ажилтан	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	600,000 - 800,000	Улаанбаатар хот	3 сарын 15. 15:02	False
Дашваанжил ХХК	Маркетингийн менежер	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 15:02	False
